Rəng,R,G,B,W,D
Red,2073,2980,2777,1789,4095
Red,2072,2983,2775,1789,4095
Red,2072,2979,2774,1791,4095
Red,2071,2982,2776,1790,4095
Red,2073,2983,2776,1790,4095
Red,2073,2978,2774,1790,4095
Red,2077,2981,2775,1790,4095
Red,2074,2980,2775,1789,4095
Red,2073,2982,2775,1790,4095
Red,2074,2981,2774,1792,4095
Red,2072,2982,2774,1789,4095
Red,2073,2980,2773,1789,4095
Red,2073,2981,2773,1790,4095
Red,2072,2980,2774,1792,4095
Red,2073,2983,2774,1790,4095
Red,2072,2980,2772,1789,4095
Red,2074,2982,2777,1789,4095
Red,2074,2979,2775,1789,4095
Red,2071,2980,2773,1790,4095
Red,2074,2982,2771,1790,4095
Red,2073,2981,2775,1792,4095
Red,2072,2981,2775,1791,4095
Red,2073,2981,2774,1792,4095
Red,2073,2980,2776,1792,4095
Red,2072,2980,2774,1790,4095
Red,2074,2982,2774,1790,4095
Red,2073,2981,2776,1791,4095
Red,2072,2981,2774,1792,4095
Red,2073,2981,2776,1789,4095
Red,2073,2984,2774,1790,4095
Red,2072,2981,2774,1791,4095
Red,2075,2983,2775,1794,4095
Red,2071,2981,2776,1788,4095
Red,2073,2981,2777,1790,4095
Red,2072,2981,2775,1793,4095
Red,2072,2980,2775,1792,4095
Red,2074,2982,2774,1790,4095
Red,2073,2983,2775,1793,4095
Red,2068,2981,2777,1790,4095
Red,2075,2982,2774,1791,4095
Red,2074,2984,2777,1791,4095
Red,2073,2983,2775,1792,4095
Red,2072,2982,2775,1790,4095
Red,2076,2982,2775,1790,4095
Red,2073,2981,2774,1791,4095
Red,2072,2982,2774,1791,4095
Red,2074,2982,2774,1792,4095
Red,2074,2985,2776,1792,4095
Red,2074,2984,2777,1790,4095
Red,2076,2982,2777,1792,4095
Red,2075,2982,2775,1792,4095
Red,2074,2983,2774,1791,4095
Red,2073,2982,2775,1792,4095
Red,2073,2982,2775,1792,4095
Red,2073,2980,2779,1792,4095
Red,2072,2983,2774,1793,4095
Red,2075,2983,2776,1794,4095
Red,2073,2984,2775,1793,4095
Red,2074,2982,2776,1792,4095
Red,2073,2981,2774,1794,4095
Red,2073,2983,2776,1793,4095
Red,2074,2982,2775,1791,4095
Red,2074,2981,2773,1790,4095
Red,2075,2979,2776,1790,4095
Red,2074,2982,2774,1791,4095
Red,2073,2981,2774,1789,4095
Red,2074,2981,2775,1790,4095
Red,2073,2983,2774,1792,4095
Red,2073,2982,2774,1794,4095
Red,2073,2982,2776,1790,4095
Red,2075,2982,2777,1790,4095
Red,2073,2982,2775,1791,4095
Red,2073,2981,2775,1791,4095
Red,2073,2982,2775,1789,4095
Red,2074,2983,2776,1791,4095
Red,2072,2982,2775,1791,4095
Red,2073,2982,2777,1791,4095
Red,2072,2982,2777,1793,4095
Red,2076,2982,2775,1789,4095
Red,2073,2980,2774,1792,4095
Red,2074,2983,2775,1790,4095
Red,2074,2983,2775,1792,4095
Red,2071,2982,2774,1792,4095
Red,2075,2982,2774,1792,4095
Red,2073,2983,2775,1791,4095
Red,2073,2983,2776,1791,4095
Red,2073,2982,2774,1791,4095
Red,2073,2984,2776,1791,4095
Red,2074,2979,2775,1793,4095
Red,2072,2982,2778,1792,4095
Red,2074,2982,2778,1794,4095
Red,2073,2982,2775,1792,4095
Red,2074,2980,2777,1793,4095
Red,2073,2982,2775,1793,4095
Red,2073,2981,2777,1792,4095
Red,2073,2981,2777,1792,4095
Red,2074,2982,2774,1794,4095
Red,2072,2982,2771,1795,4095
Red,2073,2982,2775,1792,4095
Red,2072,2981,2774,1792,4095
Red,2072,2981,2775,1791,4095
Red,2073,2979,2776,1793,4095
Red,2074,2981,2776,1793,4095
Red,2073,2981,2775,1792,4095
Red,2074,2982,2774,1793,4095
Red,2074,2982,2774,1792,4095
Red,2070,2981,2773,1794,4095
Red,2073,2982,2777,1792,4095
Red,2073,2985,2776,1792,4095
Red,2074,2980,2773,1794,4095
Red,2075,2982,2775,1792,4095
Red,2073,2983,2776,1792,4095
Red,2073,2983,2775,1793,4095
Red,2074,2981,2775,1793,4095
Red,2073,2981,2774,1794,4095
Red,2073,2983,2772,1790,4095
Red,2072,2981,2775,1790,4095
Red,2074,2982,2774,1794,4095
Red,2072,2981,2774,1794,4095
Red,2074,2982,2775,1794,4095
Red,2073,2978,2773,1794,4095
Red,2073,2982,2776,1792,4095
Red,2078,2982,2774,1792,4095
Red,2073,2983,2777,1793,4095
Red,2073,2983,2776,1791,4095
Red,2073,2986,2772,1791,4095
Red,2074,2981,2775,1789,4095
Red,2075,2983,2775,1791,4095
Red,2073,2982,2775,1792,4095
Red,2072,2981,2774,1792,4095
Red,2073,2982,2773,1791,4095
Red,2073,2983,2779,1793,4095
Red,2073,2982,2775,1793,4095
Red,2074,2983,2777,1791,4095
Red,2074,2980,2774,1793,4095
Red,2071,2980,2773,1794,4095
Red,2073,2980,2775,1792,4095
Red,2073,2981,2775,1790,4095
Red,2073,2981,2773,1791,4095
Red,2074,2980,2773,1789,4095
Red,2072,2982,2774,1790,4095
Red,2073,2983,2774,1792,4095
Red,2072,2980,2773,1794,4095
Red,2073,2981,2775,1792,4095
Red,2073,2981,2776,1795,4095
Red,2071,2982,2773,1793,4095
Red,2070,2982,2776,1790,4095
Red,2074,2984,2776,1787,4095
Red,2071,2982,2775,1790,4095
Red,2072,2981,2774,1789,4095
Red,2073,2984,2774,1792,4095
Red,2072,2981,2776,1792,4095
Red,2073,2981,2774,1792,4095
Red,2073,2981,2775,1793,4095
Red,2073,2982,2774,1792,4095
Red,2073,2982,2775,1791,4095
Red,2073,2983,2777,1791,4095
Red,2073,2981,2775,1791,4095
Red,2072,2982,2774,1794,4095
Red,2073,2977,2773,1791,4095
Red,2069,2983,2774,1790,4095
Red,2075,2981,2773,1793,4095
Red,2072,2981,2775,1792,4095
Red,2073,2978,2774,1790,4095
Red,2074,2982,2774,1790,4095
Red,2073,2980,2773,1791,4095
Red,2073,2981,2776,1792,4095
Red,2074,2982,2776,1791,4095
Red,2072,2981,2775,1791,4095
Red,2073,2981,2775,1790,4095
Red,2074,2983,2775,1791,4095
Red,2072,2983,2774,1789,4095
Red,2073,2981,2772,1789,4095
Red,2070,2981,2774,1789,4095
Red,2073,2983,2774,1792,4095
Red,2075,2982,2775,1789,4095
Red,2074,2982,2775,1790,4095
Red,2073,2981,2773,1790,4095
Red,2072,2982,2775,1788,4095
Red,2073,2981,2776,1791,4095
Red,2073,2982,2775,1790,4095
Red,2075,2983,2776,1788,4095
Red,2074,2983,2774,1788,4095
Red,2073,2987,2773,1788,4095
Red,2072,2980,2773,1787,4095
Red,2071,2978,2772,1788,4095
Red,2073,2981,2773,1787,4095
Red,2071,2980,2775,1787,4095
Red,2071,2981,2775,1789,4095
Red,2071,2979,2776,1788,4095
Red,2072,2981,2773,1786,4095
Red,2072,2981,2774,1789,4095
Red,2073,2980,2773,1789,4095
Red,2074,2981,2775,1786,4095
Red,2072,2979,2776,1788,4095
Red,2072,2979,2773,1789,4095
Red,2071,2980,2774,1788,4095
Red,2073,2981,2775,1789,4095
Red,2071,2983,2775,1788,4095
Red,2073,2981,2773,1789,4095
Red,2074,2984,2773,1789,4095
Red,2074,2979,2774,1790,4095
Red,2073,2980,2774,1789,4095
Red,2071,2983,2776,1786,4095
Red,2072,2983,2774,1789,4095
Red,2072,2979,2773,1789,4095
Red,2071,2981,2774,1788,4095
Red,2073,2980,2773,1788,4095
Red,2071,2978,2774,1787,4095
Red,2070,2980,2775,1788,4095
Red,2069,2982,2775,1790,4095
Red,2072,2980,2773,1790,4095
Red,2072,2981,2773,1790,4095
Red,2073,2979,2775,1789,4095
Red,2072,2981,2775,1788,4095
Red,2072,2981,2774,1789,4095
Red,2073,2978,2774,1790,4095
Red,2072,2982,2775,1790,4095
Red,2072,2982,2775,1790,4095
Red,2071,2982,2774,1789,4095
Red,2073,2981,2776,1788,4095
Red,2072,2985,2773,1789,4095
Red,2073,2981,2774,1789,4095
Red,2072,2982,2775,1791,4095
Red,2072,2981,2774,1788,4095
Red,2073,2980,2772,1789,4095
Red,2072,2981,2768,1790,4095
Red,2072,2980,2774,1790,4095
Red,2072,2980,2775,1793,4095
Red,2072,2982,2773,1790,4095
Red,2071,2980,2771,1791,4095
Red,2071,2980,2772,1792,4095
Red,2073,2980,2775,1790,4095
Red,2071,2982,2774,1789,4095
Red,2073,2982,2774,1789,4095
Red,2073,2981,2775,1789,4095
Red,2072,2980,2772,1790,4095
Red,2072,2981,2774,1792,4095
Red,2072,2982,2774,1789,4095
Red,2072,2980,2774,1792,4095
Red,2072,2983,2775,1791,4095
Red,2072,2978,2775,1789,4095
Red,2071,2983,2774,1789,4095
Red,2072,2981,2775,1789,4095
Red,2072,2981,2774,1790,4095
Red,2074,2981,2772,1791,4095
Red,2074,2981,2774,1791,4095
Red,2071,2980,2769,1790,4095
Red,2071,2980,2772,1786,4095
Red,2071,2980,2774,1785,4095
Red,2072,2981,2772,1787,4095
Red,2077,2981,2774,1800,4095
Red,2078,2983,2775,1801,4095
Red,2077,2983,2777,1804,4095
Red,2078,2983,2777,1803,4095
Red,2077,2984,2777,1806,4095
Red,2077,2983,2777,1802,4095
Red,2078,2982,2776,1802,4095
Red,2078,2983,2778,1803,4095
Red,2077,2984,2779,1803,4095
Red,2078,2983,2777,1802,4095
Red,2077,2982,2777,1804,4095
Red,2076,2984,2776,1801,4095
Red,2077,2980,2776,1803,4095
Red,2074,2981,2776,1799,4095
Red,2077,2982,2777,1805,4095
Red,2077,2983,2776,1802,4095
Red,2079,2983,2777,1803,4095
Red,2078,2985,2777,1804,4095
Red,2078,2983,2776,1803,4095
Red,2079,2984,2775,1803,4095
Red,2078,2982,2778,1801,4095
Red,2078,2982,2776,1802,4095
Red,2077,2981,2775,1802,4095
Red,2078,2984,2776,1804,4095
Red,2079,2981,2777,1803,4095
Red,2079,2982,2779,1804,4095
Red,2078,2984,2775,1804,4095
Red,2078,2981,2777,1803,4095
Red,2078,2981,2776,1803,4095
Red,2079,2985,2778,1805,4095
Red,2080,2985,2778,1803,4095
Red,2077,2983,2778,1803,4095
Red,2079,2980,2777,1804,4095
Red,2078,2985,2777,1804,4095
Red,2077,2986,2776,1804,4095
Red,2080,2977,2776,1806,4095
Red,2079,2983,2777,1804,4095
Red,2078,2981,2776,1805,4095
Red,2077,2983,2776,1806,4095
Red,2079,2981,2776,1804,4095
Red,2078,2982,2777,1804,4095
Red,2077,2984,2776,1805,4095
Red,2078,2984,2777,1805,4095
Red,2079,2983,2777,1804,4095
Red,2079,2984,2777,1804,4095
Red,2077,2984,2783,1805,4095
Red,2079,2984,2775,1804,4095
Red,2078,2984,2775,1804,4095
Red,2078,2981,2777,1804,4095
Red,2077,2984,2776,1804,4095
Red,2078,2985,2776,1805,4095
Red,2078,2982,2777,1805,4095
Red,2078,2984,2776,1804,4095
Red,2078,2981,2777,1804,4095
Red,2079,2982,2777,1804,4095
Red,2078,2985,2777,1804,4095
Red,2078,2984,2776,1804,4095
Red,2079,2985,2778,1804,4095
Red,2077,2984,2776,1804,4095
Red,2079,2983,2777,1805,4095
Red,2079,2981,2776,1804,4095
Red,2080,2984,2776,1804,4095
Red,2078,2984,2776,1804,4095
Red,2078,2982,2776,1803,4095
Red,2077,2984,2774,1802,4095
Red,2075,2983,2775,1800,4095
Red,2076,2982,2775,1801,4095
Red,2077,2983,2775,1802,4095
Red,2078,2983,2776,1799,4095
Red,2078,2982,2776,1802,4095
Red,2076,2983,2776,1802,4095
Red,2078,2983,2776,1800,4095
Red,2076,2983,2776,1799,4095
Red,2078,2983,2774,1803,4095
Red,2077,2982,2774,1804,4095
Red,2078,2982,2777,1804,4095
Red,2077,2983,2777,1805,4095
Red,2077,2985,2777,1803,4095
Red,2077,2983,2776,1806,4095
Red,2079,2982,2777,1801,4095
Red,2075,2983,2775,1804,4095
Red,2077,2982,2776,1803,4095
Red,2078,2983,2776,1803,4095
Red,2076,2984,2776,1804,4095
Red,2078,2984,2776,1804,4095
Red,2078,2982,2777,1803,4095
Red,2079,2984,2777,1803,4095
Red,2076,2984,2776,1804,4095
Red,2078,2982,2775,1803,4095
Red,2077,2984,2776,1803,4095
Red,2076,2981,2776,1803,4095
Red,2078,2982,2776,1803,4095
Red,2078,2979,2775,1803,4095
Red,2077,2983,2776,1803,4095
Red,2080,2981,2777,1805,4095
Red,2077,2981,2775,1806,4095
Red,2079,2982,2777,1805,4095
Red,2077,2982,2775,1803,4095
Red,2077,2980,2774,1804,4095
Red,2077,2983,2776,1805,4095
Red,2075,2982,2776,1803,4095
Red,2079,2980,2777,1805,4095
Red,2077,2981,2776,1804,4095
Red,2077,2981,2776,1805,4095
Red,2078,2983,2775,1806,4095
Red,2077,2982,2775,1803,4095
Red,2078,2981,2777,1802,4095
Red,2078,2980,2777,1803,4095
Red,2077,2983,2776,1804,4095
Red,2078,2984,2775,1803,4095
Red,2078,2981,2777,1803,4095
Red,2077,2983,2776,1804,4095
Red,2078,2984,2777,1804,4095
Red,2078,2983,2775,1804,4095
Red,2078,2981,2776,1804,4095
Red,2077,2983,2778,1803,4095
Red,2077,2981,2776,1804,4095
Red,2077,2987,2772,1803,4095
Red,2077,2984,2776,1803,4095
Red,2079,2985,2775,1804,4095
Red,2077,2985,2776,1803,4095
Red,2078,2984,2777,1803,4095
Red,2078,2983,2776,1803,4095
Red,2078,2983,2778,1806,4095
Red,2077,2983,2777,1804,4095
Red,2077,2982,2778,1804,4095
Red,2077,2988,2776,1804,4095
Red,2077,2982,2775,1804,4095
Red,2077,2982,2775,1802,4095
Red,2077,2982,2777,1805,4095
Red,2078,2982,2774,1804,4095
Red,2077,2982,2778,1805,4095
Red,2077,2983,2774,1803,4095
Red,2078,2984,2776,1801,4095
Red,2079,2984,2774,1806,4095
Red,2078,2982,2779,1806,4095
Red,2078,2983,2780,1805,4095
Red,2078,2985,2776,1804,4095
Red,2078,2982,2778,1803,4095
Red,2078,2983,2776,1806,4095
Red,2079,2984,2777,1807,4095
Red,2079,2984,2776,1806,4095
Red,2079,2982,2777,1804,4095
Red,2078,2984,2776,1806,4095
Red,2079,2983,2776,1804,4095
Red,2080,2984,2775,1804,4095
Red,2080,2982,2776,1804,4095
Red,2078,2980,2777,1804,4095
Red,2077,2982,2777,1803,4095
Red,2078,2983,2775,1804,4095
Red,2075,2983,2777,1805,4095
Red,2078,2983,2776,1806,4095
Red,2079,2985,2776,1805,4095
Red,2078,2982,2776,1804,4095
Red,2078,2983,2776,1804,4095
Red,2077,2985,2777,1805,4095
Red,2078,2983,2775,1805,4095
Red,2077,2982,2779,1804,4095
Red,2079,2984,2774,1806,4095
Red,2079,2985,2777,1804,4095
Red,2077,2982,2777,1805,4095
Red,2079,2983,2775,1804,4095
Red,2080,2983,2777,1804,4095
Red,2078,2985,2776,1802,4095
Red,2077,2984,2776,1805,4095
Red,2077,2983,2774,1805,4095
Red,2077,2982,2776,1804,4095
Red,2077,2983,2778,1803,4095
Red,2082,2982,2776,1804,4095
Red,2078,2983,2777,1802,4095
Red,2079,2985,2775,1805,4095
Red,2080,2984,2776,1804,4095
Red,2077,2983,2775,1806,4095
Red,2078,2984,2777,1805,4095
Red,2077,2986,2777,1805,4095
Red,2078,2985,2777,1806,4095
Red,2079,2983,2778,1805,4095
Red,2078,2982,2775,1805,4095
Red,2077,2983,2777,1804,4095
Red,2079,2983,2776,1805,4095
Red,2078,2983,2777,1806,4095
Red,2077,2982,2778,1804,4095
Red,2077,2983,2776,1805,4095
Red,2078,2981,2778,1805,4095
Red,2078,2979,2775,1804,4095
Red,2077,2982,2777,1805,4095
Red,2079,2986,2776,1805,4095
Red,2078,2984,2777,1805,4095
Red,2078,2984,2778,1806,4095
Red,2078,2984,2774,1805,4095
Red,2077,2984,2776,1804,4095
Red,2078,2984,2774,1804,4095
Red,2077,2983,2776,1805,4095
Red,2079,2983,2775,1806,4095
Red,2078,2980,2776,1803,4095
Red,2078,2980,2777,1805,4095
Red,2076,2984,2778,1805,4095
Red,2078,2983,2775,1804,4095
Red,2079,2982,2775,1805,4095
Red,2077,2982,2776,1803,4095
Red,2078,2982,2779,1804,4095
Red,2079,2985,2773,1804,4095
Red,2079,2983,2777,1805,4095
Red,2077,2984,2776,1804,4095
Red,2079,2982,2776,1803,4095
Red,2080,2984,2777,1806,4095
Red,2078,2983,2776,1805,4095
Red,2078,2983,2778,1806,4095
Red,2077,2981,2775,1805,4095
Red,2078,2984,2777,1806,4095
Red,2079,2982,2776,1805,4095
Red,2079,2982,2777,1805,4095
Red,2080,2984,2777,1807,4095
Red,2078,2983,2775,1807,4095
Red,2080,2981,2779,1805,4095
Red,2079,2985,2778,1806,4095
Red,2077,2981,2777,1807,4095
Red,2080,2985,2778,1805,4095
Red,2078,2985,2777,1806,4095
Red,2079,2984,2777,1808,4095
Red,2080,2984,2776,1806,4095
Red,2079,2984,2775,1806,4095
Red,2081,2981,2776,1805,4095
Red,2079,2982,2776,1805,4095
Red,2081,2985,2777,1805,4095
Red,2079,2984,2778,1806,4095
Red,2080,2984,2780,1806,4095
Red,2078,2983,2777,1807,4095
Red,2077,2984,2776,1805,4095
Red,2081,2985,2776,1806,4095
Red,2079,2984,2775,1806,4095
Red,2078,2984,2777,1803,4095
Red,2078,2983,2776,1807,4095
Red,2079,2985,2777,1806,4095
Red,2079,2982,2777,1806,4095
Red,2081,2983,2776,1806,4095
Red,2079,2984,2776,1806,4095
Red,2078,2985,2777,1807,4095
Red,2079,2984,2776,1808,4095
Red,2078,2983,2777,1806,4095
Red,2076,2983,2776,1803,4095
Red,2080,2985,2776,1807,4095
Red,2080,2983,2777,1804,4095
Red,2077,2984,2776,1808,4095
Red,2078,2984,2776,1806,4095
Red,2078,2983,2777,1806,4095
Red,2077,2983,2775,1802,4095
Red,2078,2982,2777,1805,4095
Red,2078,2986,2777,1806,4095
Red,2078,2985,2776,1805,4095
Red,2077,2983,2775,1807,4095
Red,2079,2982,2777,1807,4095
Red,2082,2984,2777,1806,4095
Red,2078,2982,2776,1803,4095
Red,2079,2985,2776,1806,4095
Red,2077,2984,2774,1804,4095
Red,2078,2983,2776,1808,4095
Red,2077,2983,2779,1806,4095
Red,2078,2984,2779,1806,4095
Red,2078,2984,2780,1807,4095
Red,2079,2983,2776,1805,4095
Red,2078,2983,2775,1805,4095
Red,2078,2983,2777,1806,4095
Red,2079,2982,2777,1805,4095
Red,2079,2984,2778,1805,4095
Red,2077,2983,2776,1807,4095
Red,2078,2980,2775,1805,4095
Red,2077,2983,2776,1806,4095
Red,2079,2982,2776,1807,4095
Red,2078,2983,2776,1805,4095
Red,2076,2984,2777,1807,4095
Red,2078,2984,2776,1806,4095
Red,2080,2984,2776,1807,4095
Red,2078,2985,2776,1805,4095
Red,2080,2984,2776,1804,4095
Red,2078,2986,2775,1806,4095
Red,2078,2983,2778,1806,4095
Red,2082,2983,2778,1806,4095
Red,2080,2984,2776,1807,4095
Red,2081,2983,2776,1804,4095
Red,2078,2983,2776,1805,4095
Red,2080,2984,2776,1805,4095
Red,2078,2986,2775,1809,4095
Red,2079,2983,2775,1807,4095
Red,2079,2984,2778,1805,4095
Red,2079,2985,2777,1806,4095
Red,2079,2982,2777,1806,4095
Red,2081,2983,2778,1806,4095
Red,2079,2983,2778,1806,4095
Red,2080,2984,2780,1806,4095
Red,2078,2984,2778,1807,4095
Red,2078,2983,2775,1806,4095
Red,2079,2984,2778,1804,4095
Red,2077,2983,2775,1807,4095
Red,2080,2982,2777,1805,4095
Red,2078,2984,2776,1806,4095
Red,2078,2983,2775,1806,4095
Red,2080,2983,2777,1806,4095
Red,2079,2983,2774,1807,4095
Red,2078,2985,2776,1809,4095
Red,2080,2982,2773,1806,4095
Red,2078,2985,2778,1807,4095
Red,2079,2984,2775,1806,4095
Red,2079,2983,2776,1805,4095
Red,2078,2983,2776,1806,4095
Red,2079,2986,2773,1806,4095
Red,2080,2985,2778,1807,4095
Red,2080,2984,2778,1805,4095
Red,2079,2985,2779,1806,4095
Red,2079,2983,2776,1806,4095
Red,2080,2984,2776,1806,4095
Red,2080,2986,2777,1807,4095
Red,2081,2984,2776,1807,4095
Red,2079,2983,2776,1806,4095
Red,2080,2984,2776,1807,4095
Red,2079,2983,2777,1806,4095
Red,2079,2984,2776,1805,4095
Red,2080,2983,2775,1807,4095
Red,2079,2984,2778,1806,4095
Red,2081,2985,2777,1807,4095
Red,2079,2984,2777,1807,4095
Red,2079,2983,2776,1807,4095
Red,2077,2981,2776,1806,4095
Red,2080,2984,2778,1807,4095
Red,2084,2984,2778,1809,4095
Red,2079,2983,2777,1807,4095
Red,2081,2984,2777,1805,4095
Red,2078,2983,2777,1805,4095
Red,2079,2984,2780,1807,4095
Red,2078,2983,2779,1806,4095
Red,2079,2985,2778,1808,4095
Red,2080,2984,2777,1807,4095
Red,2081,2983,2777,1806,4095
Red,2081,2983,2778,1809,4095
Red,2080,2984,2778,1808,4095
Red,2081,2985,2776,1808,4095
Red,2080,2985,2776,1803,4095
Red,2080,2984,2778,1806,4095
Red,2082,2986,2777,1806,4095
Red,2079,2984,2778,1808,4095
Red,2079,2982,2777,1806,4095
Red,2082,2986,2777,1807,4095
Red,2080,2985,2777,1807,4095
Red,2078,2984,2778,1805,4095
Red,2079,2985,2777,1807,4095
Red,2079,2984,2777,1807,4095
Red,2079,2986,2778,1809,4095
Red,2079,2986,2777,1805,4095
Red,2078,2987,2779,1808,4095
Red,2079,2985,2776,1806,4095
Red,2079,2983,2777,1805,4095
Red,2079,2983,2777,1806,4095
Red,2078,2984,2778,1807,4095
Red,2080,2985,2775,1810,4095
Red,2080,2983,2777,1807,4095
Red,2080,2985,2779,1805,4095
Red,2079,2984,2777,1804,4095
Red,2079,2983,2776,1806,4095
Red,2079,2985,2779,1807,4095
Red,2079,2984,2777,1806,4095
Red,2080,2983,2779,1806,4095
Red,2084,2983,2777,1806,4095
Red,2080,2984,2777,1806,4095
Red,2080,2982,2778,1807,4095
Red,2079,2984,2776,1806,4095
Red,2079,2984,2778,1804,4095
Red,2080,2985,2777,1806,4095
Red,2078,2983,2778,1804,4095
Red,2080,2986,2776,1806,4095
Red,2078,2983,2777,1809,4095
Red,2079,2983,2778,1806,4095
Red,2079,2984,2775,1807,4095
Red,2080,2981,2776,1807,4095
Red,2078,2984,2777,1804,4095
Red,2078,2984,2776,1805,4095
Red,2082,2983,2778,1803,4095
Red,2080,2985,2777,1809,4095
Red,2080,2985,2779,1806,4095
Red,2079,2984,2776,1807,4095
Red,2080,2984,2779,1807,4095
Red,2080,2984,2778,1806,4095
Red,2080,2983,2777,1805,4095
Red,2077,2983,2777,1807,4095
Red,2079,2984,2777,1806,4095
Red,2080,2982,2778,1806,4095
Red,2078,2983,2779,1807,4095
Red,2081,2984,2778,1806,4095
Red,2079,2984,2777,1806,4095
Red,2081,2985,2777,1808,4095
Red,2080,2984,2779,1807,4095
Red,2079,2983,2779,1805,4095
Red,2081,2983,2778,1806,4095
Red,2079,2982,2778,1808,4095
Red,2077,2986,2776,1806,4095
Red,2079,2983,2776,1804,4095
Red,2080,2984,2776,1809,4095
Red,2079,2985,2776,1806,4095
Red,2078,2982,2777,1805,4095
Red,2079,2982,2778,1805,4095
Red,2081,2983,2778,1806,4095
Red,2081,2983,2777,1806,4095
Red,2078,2983,2777,1804,4095
Red,2079,2985,2775,1807,4095
Red,2078,2985,2777,1804,4095
Red,2077,2983,2777,1804,4095
Red,2077,2983,2777,1806,4095
Red,2081,2984,2776,1807,4095
Red,2078,2983,2778,1803,4095
Red,2077,2984,2777,1806,4095
Red,2078,2982,2777,1804,4095
Red,2077,2983,2776,1806,4095
Red,2077,2983,2777,1805,4095
Red,2078,2983,2776,1805,4095
Red,2079,2984,2776,1805,4095
Red,2079,2982,2777,1805,4095
Red,2078,2990,2779,1803,4095
Red,2077,2981,2776,1804,4095
Red,2079,2984,2775,1807,4095
Red,2079,2984,2777,1807,4095
Red,2078,2982,2776,1806,4095
Red,2079,2984,2777,1805,4095
Red,2079,2984,2778,1805,4095
Red,2080,2985,2777,1808,4095
Red,2079,2982,2777,1806,4095
Red,2079,2984,2776,1806,4095
Red,2078,2981,2777,1804,4095
Red,2080,2983,2778,1805,4095
Red,2079,2983,2777,1805,4095
Red,2078,2983,2777,1806,4095
Red,2079,2983,2777,1805,4095
Red,2080,2984,2776,1804,4095
Red,2079,2983,2776,1804,4095
Red,2079,2985,2776,1805,4095
Red,2078,2982,2777,1805,4095
Red,2079,2981,2778,1804,4095
Red,2079,2983,2776,1805,4095
Red,2079,2983,2776,1806,4095
Red,2082,2982,2775,1804,4095
Red,2078,2982,2776,1805,4095
Red,2080,2984,2776,1806,4095
Red,2079,2984,2777,1804,4095
Red,2076,2983,2776,1809,4095
Red,2080,2984,2775,1804,4095
Red,2079,2983,2778,1805,4095
Red,2079,2984,2776,1805,4095
Red,2078,2987,2778,1805,4095
Red,2079,2985,2778,1805,4095
Red,2077,2984,2777,1806,4095
Red,2079,2985,2778,1805,4095
Red,2080,2982,2778,1806,4095
Red,2078,2981,2775,1806,4095
Red,2079,2983,2777,1805,4095
Red,2081,2983,2777,1805,4095
Red,2082,2982,2776,1805,4095
Red,2078,2985,2779,1807,4095
Red,2079,2981,2777,1805,4095
Red,2080,2984,2778,1805,4095
Red,2078,2981,2772,1805,4095
Red,2077,2985,2778,1806,4095
Red,2081,2985,2778,1806,4095
Red,2079,2983,2777,1806,4095
Red,2078,2983,2777,1806,4095
Red,2079,2984,2777,1805,4095
Red,2078,2984,2774,1806,4095
Red,2079,2980,2780,1806,4095
Red,2080,2984,2778,1803,4095
Red,2079,2983,2777,1805,4095
Red,2077,2984,2777,1805,4095
Red,2077,2983,2777,1805,4095
Red,2078,2984,2775,1804,4095
Red,2077,2983,2776,1801,4095
Red,2078,2983,2778,1805,4095
Red,2077,2981,2775,1804,4095
Red,2077,2983,2777,1805,4095
Red,2079,2984,2776,1805,4095
Red,2077,2984,2778,1807,4095
Red,2080,2984,2777,1806,4095
Red,2079,2982,2777,1806,4095
Red,2081,2986,2776,1805,4095
Red,2079,2984,2778,1805,4095
Red,2078,2984,2777,1806,4095
Red,2080,2985,2776,1806,4095
Red,2080,2983,2778,1808,4095
Red,2078,2984,2777,1807,4095
Red,2079,2984,2773,1805,4095
Red,2078,2982,2776,1806,4095
Red,2079,2984,2775,1807,4095
Red,2081,2983,2777,1805,4095
Red,2081,2983,2776,1806,4095
Red,2080,2985,2777,1807,4095
Red,2078,2982,2778,1809,4095
Red,2080,2984,2778,1809,4095
Red,2079,2982,2777,1806,4095
Red,2079,2984,2779,1806,4095
Red,2080,2984,2777,1807,4095
Red,2077,2985,2777,1807,4095
Red,2082,2984,2778,1808,4095
Red,2081,2982,2781,1806,4095
Red,2081,2986,2777,1808,4095
Red,2079,2983,2776,1806,4095
Red,2080,2983,2778,1807,4095
Red,2082,2983,2776,1807,4095
Red,2081,2984,2776,1806,4095
Red,2080,2984,2778,1809,4095
Red,2077,2983,2778,1805,4095
Red,2079,2985,2774,1806,4095
Red,2080,2983,2778,1806,4095
Red,2080,2983,2777,1806,4095
Red,2080,2985,2779,1808,4095
Red,2080,2983,2777,1808,4095
Red,2079,2984,2776,1809,4095
Red,2081,2984,2778,1807,4095
Red,2079,2985,2777,1807,4095
Red,2081,2984,2779,1805,4095
Red,2080,2983,2778,1807,4095
Red,2078,2985,2774,1806,4095
Red,2079,2987,2777,1808,4095
Red,2078,2984,2777,1808,4095
Red,2080,2983,2777,1807,4095
Red,2079,2983,2777,1807,4095
Red,2079,2984,2778,1807,4095
Red,2080,2983,2778,1806,4095
Red,2079,2985,2778,1811,4095
Red,2079,2983,2780,1808,4095
Red,2080,2986,2776,1807,4095
