Rəng,R,G,B,W,D
Red,2077,2984,2779,1803,4095
Red,2076,2984,2778,1797,4095
Red,2076,2982,2779,1802,4095
Red,2081,2983,2777,1801,4095
Red,2074,2984,2777,1801,4095
Red,2075,2979,2778,1802,4095
Red,2077,2983,2779,1802,4095
Red,2076,2982,2779,1802,4095
Red,2076,2983,2780,1804,4095
Red,2076,2983,2777,1801,4095
Red,2075,2982,2777,1801,4095
Red,2075,2984,2779,1801,4095
Red,2075,2982,2778,1802,4095
Red,2076,2983,2779,1798,4095
Red,2076,2982,2777,1802,4095
Red,2075,2981,2777,1802,4095
Red,2074,2983,2778,1801,4095
Red,2075,2982,2778,1800,4095
Red,2075,2979,2775,1801,4095
Red,2076,2982,2779,1794,4095
Red,2075,2982,2777,1798,4095
Red,2074,2983,2777,1797,4095
Red,2073,2980,2777,1798,4095
Red,2075,2982,2777,1799,4095
Red,2074,2983,2776,1797,4095
Red,2074,2982,2778,1798,4095
Red,2073,2982,2777,1798,4095
Red,2073,2983,2777,1801,4095
Red,2073,2983,2777,1799,4095
Red,2074,2981,2776,1796,4095
Red,2074,2980,2774,1797,4095
Red,2074,2981,2777,1798,4095
Red,2073,2983,2777,1798,4095
Red,2072,2982,2777,1796,4095
Red,2073,2982,2776,1798,4095
Red,2073,2984,2777,1798,4095
Red,2074,2982,2778,1798,4095
Red,2073,2983,2772,1799,4095
Red,2072,2983,2777,1799,4095
Red,2075,2982,2777,1796,4095
Red,2074,2984,2776,1798,4095
Red,2075,2983,2777,1798,4095
Red,2074,2983,2777,1799,4095
Red,2073,2982,2776,1797,4095
Red,2074,2983,2778,1798,4095
Red,2074,2982,2778,1797,4095
Red,2074,2985,2778,1798,4095
Red,2076,2983,2777,1798,4095
Red,2075,2979,2777,1798,4095
Red,2074,2982,2776,1798,4095
Red,2073,2981,2778,1797,4095
Red,2074,2981,2775,1797,4095
Red,2075,2982,2778,1796,4095
Red,2078,2981,2777,1796,4095
Red,2074,2979,2777,1797,4095
Red,2074,2982,2778,1797,4095
Red,2074,2983,2775,1798,4095
Red,2073,2983,2779,1798,4095
Red,2072,2983,2778,1798,4095
Red,2071,2982,2777,1797,4095
Red,2077,2982,2778,1798,4095
Red,2073,2984,2773,1798,4095
Red,2074,2984,2776,1800,4095
Red,2075,2984,2777,1795,4095
Red,2075,2983,2778,1795,4095
Red,2076,2982,2777,1800,4095
Red,2074,2982,2777,1798,4095
